City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,alice springs,-23.7,133.8833,284.9,66,0,3.6,AU,1688434117
196,hambantota,6.1241,81.1185,300.34,83,75,3.09,LK,1688434118
197,leh,34.1667,77.5833,288.02,43,89,1.43,IN,1688434119
198,san pedro ayampuc,14.7867,-90.4511,295.78,93,100,1.39,GT,1688434119
199,caucaia,-3.7361,-38.6531,300.39,3,0,3.6,BR,1688434120
200,olafsvik,64.8945,-23.7142,282.53,77,49,5.14,IS,1688434120
201,burnie,-41.0667,145.9167,284.79,80,100,2.06,AU,1688434121
202,derzhavinsk,51.1,66.3167,291.89,67,20,1.7,KZ,1688434121
203,yulara,-25.2406,130.9889,284.6,64,0,3.44,AU,1688434122
204,richards bay,-28.783,32.0377,288.67,68,0,3.09,ZA,1688434122
205,benito juarez,19.385,-99.165,294.26,53,75,5.14,MX,1688434123
206,port blair,11.6667,92.75,300.68,82,98,9.12,IN,1688434124
207,skelleftea,64.7507,20.9528,285.93,100,100,4.63,SE,1688434125
208,praia da vitoria,38.7333,-27.0667,293.29,77,75,2.22,PT,1688433860
209,faya,18.3851,42.4509,294.21,32,9,1.55,SA,1688434126
210,provideniya,64.3833,-173.3,282.24,93,100,3.13,RU,1688434126
211,gat,31.61,34.7642,295.82,76,0,1.96,IL,1688434030
212,buala,-8.145,159.5921,302.03,75,47,5.49,SB,1688434127
213,college,64.8569,-147.8028,296.81,44,100,3.6,US,1688434128
214,chicama,-7.8447,-79.1469,295.45,82,53,2.92,PE,1688434129
215,dikson,73.5069,80.5464,277.78,84,11,7.54,RU,1688434129
216,tabou,4.423,-7.3528,297.78,85,98,2.05,CI,1688434130
217,okakarara,-20.5833,17.4333,282.54,38,0,1.8,NA,1688434130
218,cajati,-24.7361,-48.1228,287.27,97,6,0.79,BR,1688433831
219,belyy yar,53.6039,91.3903,288.09,77,0,1.0,RU,1688434131
220,svetlogorsk,52.6333,29.7333,286.07,86,7,1.51,BY,1688434132
221,klaksvik,62.2266,-6.589,280.66,82,100,9.13,FO,1688434133
222,boundiali,9.5217,-6.4869,295.49,92,29,1.59,CI,1688434133
223,ancud,-41.8697,-73.8203,280.69,88,100,3.75,CL,1688434134
224,ukiah,39.1502,-123.2078,307.84,26,0,3.09,US,1688434079
225,khatanga,71.9667,102.5,290.01,61,100,1.38,RU,1688434135
226,winfield,37.2398,-96.9956,301.58,59,0,2.57,US,1688433849
227,viisoara,46.55,23.9167,290.14,83,0,0.88,RO,1688434136
228,pitimbu,-7.4706,-34.8086,297.48,84,99,7.14,BR,1688434136
229,port-gentil,-0.7193,8.7815,295.3,94,10,5.2,GA,1688434137
230,huejuquilla el alto,22.6,-103.8667,296.4,51,62,2.56,MX,1688434138
231,korla,41.7597,86.1469,301.47,15,45,4.87,CN,1688434138
232,mackay,-21.15,149.2,294.08,89,97,4.34,AU,1688434139
233,bonthe,7.5264,-12.505,297.57,90,100,2.18,SL,1688434140
234,hopelchen,19.7667,-89.85,300.23,75,99,2.15,MX,1688434141
235,nanortalik,60.1432,-45.2371,279.13,88,100,5.01,GL,1688434141
236,nuuk,64.1835,-51.7216,280.49,81,75,8.23,GL,1688434142
237,martaban,16.5314,97.6111,297.88,93,100,3.78,MM,1688434142
238,pevek,69.7008,170.3133,274.13,97,100,3.48,RU,1688434143
239,nata,8.3333,-80.5167,299.08,86,100,0.45,PA,1688434144
240,aklavik,68.2191,-135.0107,303.4,27,29,2.49,CA,1688434144
241,havoysund,70.9963,24.6622,281.28,96,100,5.72,NO,1688434145
242,dharchula,29.85,80.5333,296.98,84,76,0.2,IN,1688434145
243,shache,38.4167,77.2406,300.37,23,96,1.79,CN,1688434146
244,geraldton,-28.7667,114.6,288.38,82,75,6.69,AU,1688434146
245,aripuana,-9.1667,-60.6333,295.45,52,4,0.46,BR,1688434147
246,marana,32.4367,-111.2254,315.8,9,0,4.63,US,1688434079
247,nome,64.5011,-165.4064,289.35,59,20,6.69,US,1688434148
248,egvekinot,66.3167,-179.1667,284.17,58,90,3.4,RU,1688434148
249,port lincoln,-34.7333,135.8667,285.75,72,11,5.56,AU,1688434149
250,carnarvon,-24.8667,113.6333,292.94,63,8,6.84,AU,1688434150
251,acajutla,13.5928,-89.8275,301.02,78,98,0.42,SV,1688434150
252,elko,41.0002,-115.5012,306.16,17,6,9.39,US,1688434151
253,saldanha,-33.0117,17.9442,282.18,88,7,4.04,ZA,1688434151
254,jalu,29.0331,21.5482,297.52,63,0,4.83,LY,1688434152
255,jiwani,25.05,61.7417,301.36,82,100,2.18,PK,1688434153
256,alzamay,55.5562,98.6644,286.3,97,100,3.4,RU,1688434154
257,mandalgovi,45.7625,106.2708,284.22,76,100,8.58,MN,1688434154
258,kalga,50.9251,118.898,289.96,93,100,2.87,RU,1688434155
259,saskylakh,71.9167,114.0833,289.51,44,57,6.11,RU,1688434156
260,shanting,35.0753,117.4578,296.64,92,100,5.28,CN,1688434156
261,bowen,-20.0167,148.2333,296.53,88,99,2.42,AU,1688434157
262,teruel,40.6667,-0.6667,289.41,76,41,1.27,ES,1688434158
263,chapais,49.7834,-74.8492,297.03,67,92,2.03,CA,1688434159
264,huarmey,-10.0681,-78.1522,294.22,82,98,3.75,PE,1688434159
265,pokhara,28.2333,83.9833,295.61,98,100,0.32,NP,1688434160
266,eyl,7.9803,49.8164,298.6,68,95,10.75,SO,1688434161
267,jawhar,2.7809,45.5005,295.82,86,6,5.15,SO,1688434161
268,matamoros,25.5333,-103.25,302.21,54,75,4.63,MX,1688434162
269,billings,45.7833,-108.5007,293.43,62,75,5.14,US,1688434163
270,bethel,41.3712,-73.414,298.51,87,100,2.06,US,1688434164
271,stromness,58.965,-3.296,284.13,87,100,4.47,GB,1688434165
272,hammerfest,70.6634,23.6821,282.4,93,75,4.12,NO,1688434165
273,ravar,31.2656,56.8055,301.68,23,84,0.81,IR,1688434166
274,pochutla,15.7432,-96.4661,298.61,87,67,0.73,MX,1688434166
275,filingue,14.3521,3.3168,303.11,49,100,0.55,NE,1688434168
276,makrana,27.05,74.7167,302.75,67,100,5.13,IN,1688434169
277,cabo san lucas,22.8909,-109.9124,305.71,79,40,7.2,MX,1688434001
278,port shepstone,-30.7414,30.455,290.07,56,0,3.5,ZA,1688434171
279,ermelo,-26.5333,29.9833,278.99,58,0,1.9,ZA,1688434171
280,faanui,-16.4833,-151.75,299.97,80,100,8.37,PF,1688434172
281,aiquile,-18.2041,-65.1807,285.42,82,0,1.77,BO,1688434172
282,carndonagh,55.25,-7.2667,284.96,92,89,4.66,IE,1688434173
283,ewa beach,21.3156,-158.0072,304.12,63,75,5.14,US,1688434050
284,vanderhoof,54.0166,-124.0198,293.34,44,97,2.81,CA,1688434174
285,ceres,37.5949,-120.9577,309.94,23,0,5.66,US,1688434114
286,wad rawah,15.1603,33.1397,298.76,70,100,11.65,SD,1688434175
287,mendi,-6.1761,143.6513,293.52,70,50,1.71,PG,1688434176
288,itoman,26.1247,127.6694,303.16,84,75,6.17,JP,1688434177
289,morondava,-20.2833,44.2833,291.13,67,0,3.85,MG,1688434177
290,quatre cocos,-20.2078,57.7625,295.21,73,27,8.95,MU,1688434178
291,saint george,37.1041,-113.5841,315.48,9,0,10.29,US,1688434117
292,samarkand,39.6542,66.9597,294.83,49,0,1.03,UZ,1688434179
293,nemuro,43.3236,145.575,284.65,98,100,5.89,JP,1688434179
294,poya,-21.35,165.15,296.96,52,94,1.58,NC,1688434180
295,merauke,-8.4667,140.3333,301.38,75,100,4.28,ID,1688434181
296,gaoua,10.2992,-3.2508,297.26,86,29,1.83,BF,1688434181
297,puerto escondido,15.85,-97.0667,301.19,80,86,0.36,MX,1688434182
298,opuwo,-18.0607,13.84,289.26,26,0,2.82,NA,1688434183
299,haines junction,60.7522,-137.5108,291.12,39,100,5.66,CA,1688434183
300,kodinsk,58.6881,99.1844,294.27,54,100,2.86,RU,1688434184
301,bay roberts,47.5999,-53.2648,293.01,96,100,3.36,CA,1688434184
302,barrhead,55.7992,-4.3929,285.89,88,75,5.66,GB,1688434185
303,krasnodon,48.2923,39.7373,292.75,64,3,0.99,UA,1688434186
304,abnub,27.2696,31.1511,301.27,21,0,2.07,EG,1688434186
305,waddan,29.1614,16.139,300.51,41,0,2.97,LY,1688434187
306,omsukchan,62.5333,155.8,301.65,37,65,3.82,RU,1688434187
307,jaslo,49.7451,21.4725,291.03,73,100,1.61,PL,1688434188
308,laramie,41.3114,-105.5911,295.68,30,20,0.0,US,1688434188
309,ambilobe,-13.2,49.05,291.33,68,0,2.63,MG,1688434189
310,khani,41.9563,42.9566,286.91,79,0,2.41,GE,1688434190
311,qasigiannguit,68.8193,-51.1922,282.29,96,100,1.43,GL,1688434190
312,lata,40.1629,-8.3327,290.82,89,100,2.3,PT,1688434191
313,ha tinh,18.3333,105.9,301.75,70,100,3.52,VN,1688434191
314,yuzhno-sukhokumsk,44.6581,45.6436,295.53,65,0,1.99,RU,1688434192
315,ayagoz,47.9714,80.4392,296.34,34,100,2.33,KZ,1688434193
316,primorsk,46.7348,36.3443,293.0,56,1,2.23,UA,1688434194
317,gobabis,-22.45,18.9667,283.42,36,0,4.92,NA,1688434194
318,sur,22.5667,59.5289,301.88,72,100,1.41,OM,1688434195
319,dahra,36.2546,0.8519,298.81,41,0,0.62,DZ,1688434195
320,berdigestyakh,62.0989,126.6992,295.63,59,100,3.13,RU,1688434196
321,kavaratti,10.5669,72.642,301.52,78,100,13.89,IN,1688434196
322,bilibino,68.0546,166.4372,284.8,91,100,1.57,RU,1688434197
323,corsicana,32.0954,-96.4689,305.16,51,0,2.57,US,1688434197
324,talca,-35.4333,-71.6667,284.23,89,100,0.98,CL,1688434198
